번호,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위도,경도,geometry,구군,동
1,대구광역시 북구 산격동 1817호,대구광역시 북구 검단로 97 (산격동),코스트코 홀세일,대형마트,346013.6515,268532.1899,35.9062798581929,128.618081224985,POINT (346013.6515 268532.1899),북구,산격동
2,대구광역시 북구 노원동2가 381호,대구광역시 북구 팔달로 183 (노원동2가),하나프러스,그 밖의 대규모점포,341722.53,266512.6492,35.8889211713811,128.570118118632,POINT (341722.53 266512.6492),북구,노원동
3,대구광역시 북구 산격동 1629호,대구광역시 북구 유통단지로 16 (산격동),대구기계공구상협동조합,시장,344912.3589,268253.8303,35.9041081752813,128.605714108427,POINT (344912.3589 268253.8303),북구,산격동
4,대구광역시 북구 산격2동 1665번지,대구광역시 북구 유통단지로 38 (산격동),대구종합유통단지 전기재료관,그 밖의 대규모점포,345062.7542,268408.9514,35.9053179173131,128.607554962178,POINT (345062.7542 268408.9514),북구,산격2동
5,대구광역시 북구 태전동 993호,대구광역시 북구 칠곡중앙대로 412 (태전동),네오시티프라자,시장,339707.016,271331.0883,35.9322707893304,128.548891354096,POINT (339707.016 271331.0883),북구,태전동
6,대구광역시 북구 산격동 1621번지,"대구광역시 북구 유통단지로 45 (산격동, 유통단지전자관)",대구종합유통단지 전자관,그 밖의 대규모점포,344997.5853,268604.3506,35.9074587217372,128.606816372715,POINT (344997.5853 268604.3506),북구,산격동
7,대구광역시 북구 칠성동1가 276-163,대구광역시 북구 칠성남로 229(칠성동1가),칠성시장,그 밖의 대규모점포,344933.8639,265180.7836,35.8762736992067,128.605371419791,POINT (344933.8639 265180.7836),북구,칠성동
8,대구광역시 북구 칠성동1가 89호,대구광역시 북구 칠성시장로 19 (칠성동1가),경명시장,그 밖의 대규모점포,344814.6024,265105.7538,35.8756529860582,128.604016388101,POINT (344814.6024 265105.7538),북구,칠성동
9,대구광역시 북구 대현동 390호,대구광역시 북구 대현로20길 30 (대현동),동대구시장,그 밖의 대규모점포,345243.8947,265723.1339,35.8811188701377,128.608925969519,POINT (345243.8947 265723.1339),북구,대현동
10,대구광역시 북구 산격동 1258호,대구광역시 북구 대동로1길 34 (산격동),산격종합시장,그 밖의 대규모점포,345348.0501,267644.2197,35.8984046148121,128.610517453648,POINT (345348.0501 267644.2197),북구,산격동
11,대구광역시 북구 복현동 462호,대구광역시 북구 경진로1길 78 (복현동),복현종합시장,,346206.5494,267011.7153,35.8925829302165,128.619880988366,POINT (346206.5494 267011.7153),북구,복현동
12,대구광역시 북구 읍내동 1343-6호,대구광역시 북구 칠곡중앙대로 416 (읍내동),동아아울렛 강북점,복합쇼핑몰,339731.4043,271557.9402,35.9343040760648,128.54921612765,POINT (339731.4043 271557.9402),북구,읍내동
13,대구광역시 북구 관음동 1369-1호,,홈플러스 칠곡IC점,그 밖의 대규모점포,338928.8296,271647.0942,35.9353392013894,128.540466117707,POINT (338928.8296 271647.0942),북구,관음동
14,대구광역시 북구 칠성동1가 276-108호,,삼성시장,그 밖의 대규모점포,,,,,POINT EMPTY,북구,칠성동
15,대구광역시 북구 노원동2가 375호,대구광역시 북구 팔달로37길 11 (노원동2가),팔달시장,그 밖의 대규모점포,341785.154,266528.3536,35.8890203772904,128.570835466411,POINT (341785.154 266528.3536),북구,노원동
16,대구광역시 북구 노원동3가 750,대구광역시 북구 팔달로33길 59 (노원동3가),팔달신시장,시장,341344.5747,266702.6097,35.8906782115986,128.565985310608,POINT (341344.5747 266702.6097),북구,노원동
17,대구광역시 북구 칠성동1가 302-98호,,대성시장,그 밖의 대규모점포,,,,,POINT EMPTY,북구,칠성동
18,대구광역시 북구 동천동 968호,대구광역시 북구 동암로12길 8 (동천동),(주)홈플러스 칠곡점,대형마트,340320.7227,272735.6757,35.9448282847914,128.555911273392,POINT (340320.7227 272735.6757),북구,동천동
19,대구광역시 북구 산격동 1667호,대구광역시 북구 유통단지로 60 (산격동),대구종합유통단지 섬유제품관,그 밖의 대규모점포,345250.7566,268519.3873,35.9063163050665,128.60965188866,POINT (345250.7566 268519.3873),북구,산격동
20,대구광역시 북구 칠성동2가 20번지 1호,대구광역시 북구 침산로 93 (칠성동2가),신세계이마트 칠성점,대형마트,343510.5732,266134.2599,35.88491508136831,128.5900896415705,POINT (343510.5732 266134.2599),북구,칠성동
21,대구광역시 북구 칠성동2가 20번지 1호,대구광역시 북구 침산로 93 (칠성동2가),(주)스펙트럼시티,그 밖의 대규모점포,343510.5732,266134.2599,35.88491508136831,128.5900896415705,POINT (343510.5732 266134.2599),북구,칠성동
22,대구광역시 북구 산격동 1676 대구전시컨벤션센터,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 (산격동)",EXCO Mall,그 밖의 대규모점포,345549.1102,268620.8457,35.9071330414324,128.613019544138,POINT (345549.1102 268620.8457),북구,산격동
23,대구광역시 북구 동천동 894번지 1호,대구광역시 북구 동암로 90 (동천동),한신공영(주),그 밖의 대규모점포,340718.2536,272659.9751,35.94411062933499,128.56033003944103,POINT (340718.2536 272659.9751),북구,동천동
24,대구광역시 북구 구암동 652번지 1호,대구광역시 북구 구암로32길 6-10 (구암동),홈플러스(주)익스프레스 구암2점,그 밖의 대규모점포,340442.5923,271224.0376,35.931247566036,128.556774237145,POINT (340442.5923 271224.0376),북구,구암동
25,대구광역시 북구 칠성동2가 302번지 155호 롯데백화점,대구광역시 북구 태평로 161 (칠성동2가),롯데백화점 대구점,쇼핑센터,344052.5769,265131.6534,35.87580311485628,128.5959088354752,POINT (344052.5769 265131.6534),북구,칠성동
26,대구광역시 북구 산격동 1666호,대구광역시 북구 유통단지로 50 (산격동),대구종합유통단지 전기조명관사업협동조합,복합쇼핑몰,345130.3132,268448.7235,35.9057221164596,128.608278674311,POINT (345130.3132 268448.7235),북구,산격동
27,대구광역시 북구 칠성동2가 20번지 1호,대구광역시 북구 침산로 93 (칠성동2가),(주)이마트 칠성점,대형마트,343510.5732,266134.2599,35.88491508136831,128.5900896415705,POINT (343510.5732 266134.2599),북구,칠성동
28,대구광역시 북구 산격2동 1668번지 일반의류관,대구광역시 북구 유통단지로14길 22 (산격동),대구종합유통단지 일반의류관,그 밖의 대규모점포,345320.3323,268402.3727,35.9052898245815,128.610384064784,POINT (345320.3323 268402.3727),북구,산격2동
29,대구광역시 북구 산격동 1626번지,대구광역시 북구 유통단지로 25 (산격동),전자상가협동조합,그 밖의 대규모점포,344879.4215,268476.8749,35.9063849248093,128.605664856715,POINT (344879.4215 268476.8749),북구,산격동
30,대구광역시 북구 칠성동2가 20번지 1호,대구광역시 북구 침산로 93 (칠성동2가),스펙트럼시티,시장,343510.5732,266134.2599,35.88491508136831,128.5900896415705,POINT (343510.5732 266134.2599),북구,칠성동
31,대구광역시 북구 복현2동 539번지 123호,대구광역시 북구 검단로 8 (복현동),롯데쇼핑(주)롯데슈퍼 복현점,구분없음,345790.1184,267617.1169,35.897937457229595,128.6155963851909,POINT (345790.1184 267617.1169),북구,복현2동
198,대구광역시 동구 신암동 681번지 6호 큰고개상가아파트,"대구광역시 동구 신암북로 101 (신암동, 큰고개상가아파트)",큰고개종합시장,그 밖의 대규모점포,346783.8824,266596.5759,35.88859518373661,128.62641158973494,POINT (346783.8824 266596.5759),동구,신암동
210,대구광역시 동구 검사동 908번지 5호,대구광역시 동구 동촌로 127 (검사동),홈플러스 주식회사 동촌점,대형마트,349426.8054,266377.8548,35.88622531154859,128.655629714868,POINT (349426.8054 266377.8548),동구,검사동
211,대구광역시 동구 율하동 1117번지,대구광역시 동구 안심로 80 (율하동),롯데쇼핑프라자 율하점,쇼핑센터,352868.5366,264480.5655,35.8684545574304,128.693132705342,POINT (352868.5366 264480.5655),동구,율하동
212,대구광역시 달서구 본리동 76번지 2호,"대구광역시 달서구 장기로 167, 223동 118~122호 (본리동, 성당래미안이편한세상)",(주)지에스리테일 GS수퍼 본리점,대형마트,339230.8451,261410.5551,35.84297559627841,128.54188618224623,POINT (339230.8451 261410.5551),달서구,본리
213,대구광역시 달서구 상인동 1527번지 3호,대구광역시 달서구 상화북로 187 (상인동),(주)지에스리테일 GS수퍼 대구월곡점,대형마트,339656.9469,258136.2255,35.8137961150331,128.546260547993,POINT (339656.9469 258136.2255),달서구,상인동
215,대구광역시 서구 원대동3가 1434번지 4호,대구광역시 서구 달서로54길 6 (원대동3가),원대신시장,그 밖의 대규모점포,342125.3776,266183.7383,35.885562709409946,128.57476352922785,POINT (342125.3776 266183.7383),서구,원대동
216,대구광역시 서구 내당동 968호,,새길시장,그 밖의 대규모점포,,,,,POINT EMPTY,서구,내당동
217,대구광역시 서구 비산동 434호,,서부시장,그 밖의 대규모점포,,,,,POINT EMPTY,서구,비산동
218,대구광역시 서구 원대동3가 1223번지 13  호,,원대시장,그 밖의 대규모점포,,,35.8829742422619,128.577915221671,POINT EMPTY,서구,원대동
219,대구광역시 서구 비산동 1247번지 1  호,,만평시장,그 밖의 대규모점포,,,35.8882946190828,128.562766983189,POINT EMPTY,서구,비산동
220,대구광역시 서구 평리동 1085번지 1   호,,서구시장,그 밖의 대규모점포,,,35.8737678447954,128.555717350347,POINT EMPTY,서구,평리
221,대구광역시 서구 평리동 1205호,대구광역시 서구 국채보상로52길 33 (평리동),신평리시장,그 밖의 대규모점포,340886.1006,264225.4574,35.8679578656417,128.560712125673,POINT (340886.1006 264225.4574),서구,평리
222,대구광역시 서구 평리동 676번지 1  호,,대평리시장,그 밖의 대규모점포,,,35.8782001831128,128.557730007677,POINT EMPTY,서구,평리
223,대구광역시 서구 내당동 13번지 1호,대구광역시 서구 서대구로8길 64 (내당동),밤고개시장,그 밖의 대규모점포,341172.0924,263548.7866,35.86196193267464,128.5637437631362,POINT (341172.0924 263548.7866),서구,내당동
224,대구광역시 서구 평리동 1538번지 3   호,,중리시장,그 밖의 대규모점포,,,35.8704868482364,128.54782935533,POINT EMPTY,서구,평리
225,대구광역시 서구 평리동 1437번지 5  호,,중평시장,그 밖의 대규모점포,,,35.8654411083554,128.553889167869,POINT EMPTY,서구,평리
226,대구광역시 서구 내당동 308번지 1  호,,삼익상가,그 밖의 대규모점포,,,35.860164683935,128.55013090653,POINT EMPTY,서구,내당동
227,대구광역시 서구 평리동 606번지 8  호,,이현시장,그 밖의 대규모점포,,,35.876962338323,128.550734204118,POINT EMPTY,서구,평리
228,대구광역시 서구 내당동 463번지 34호,대구광역시 서구 달구벌대로 1703 (내당동),광장코아,대형마트,340080.7556,262885.7287,35.85614479721815,128.55154904622415,POINT (340080.7556 262885.7287),서구,내당동
229,대구광역시 서구 내당동 1290번지외1번지,대구광역시 서구 달구벌대로 1760 (내당동),두류1번가,대형마트,340869.709,263229.337,35.8587364382294,128.559738810218,POINT (340869.709 263229.337),서구,내당동
230,대구광역시 서구 내당동 65번지 8   호,대구광역시 서구 달구벌대로 1821 (내당동),홈플러스(주),그 밖의 대규모점포,341183.3001,263371.6709,35.8603408517595,128.563813620902,POINT (341183.3001 263371.6709),서구,내당동
231,대구광역시 서구 내당동 965호,대구광역시 서구 달서로 42 (내당동),서문시장2지구종합상가,시장,341860.4196,264004.4593,35.8661751006667,128.571440454931,POINT (341860.4196 264004.4593),서구,내당동
232,대구광역시 서구 내당동 965번지,대구광역시 서구 달서로 42 (내당동),서문시장2지구종합상가,시장,341860.4196,264004.4593,35.8661751006667,128.571440454931,POINT (341860.4196 264004.4593),서구,내당동
233,대구광역시 서구 비산7동 1610번지 3호,대구광역시 서구 팔달로 54 (비산동),트레이더스 홀세일 클럽 비산점,복합쇼핑몰,340409.4519,266639.7393,35.88991824456087,128.55584720322068,POINT (340409.4519 266639.7393),서구,비산7동
234,대구광역시 동구 신서동 1187번지,,코스트코 홀세일 대구점,대형마트,356223.2441,265495.6691,35.8770826402863,128.730716079039,POINT (356223.2441 265495.6691),동구,신서동
235,대구광역시 동구 봉무동 1545번지,대구광역시 동구 팔공로49길 16 (봉무동),롯데아울렛 이시아폴리스점,쇼핑센터,347690.4344,270271.2257,35.9215538120703,128.637351790719,POINT (347690.4344 270271.2257),동구,봉무동
236,대구광역시 동구 방촌동 907번지 7호,대구광역시 동구 동촌로45길 5 (방촌동),(주)이마트에브리데이 방촌동점,쇼핑센터,350282.0498,265973.968,35.8824560503782,128.66502143611007,POINT (350282.0498 265973.968),동구,방촌동
237,대구광역시 동구 신천동 294번지 5호,대구광역시 동구 동대구로 454 (신천동),(주)현대백화점 현대시티아울렛 대구점,쇼핑센터,346807.0869,264654.3575,35.87109459674926,128.62631103185004,POINT (346807.0869 264654.3575),동구,신천동
238,대구광역시 동구 신천동 329번지 3호,대구광역시 동구 동부로 149 (신천동),(주)신세계 동대구복합환승센터,백화점,347037.242,265407.4043,35.877844174779604,128.62899725491116,POINT (347037.242 265407.4043),동구,신천동
239,대구광역시 동구 신서동 520번지 1호,대구광역시 동구 안심로 389-2 (신서동),(주)이마트 반야월점,대형마트,355939.3623,264777.2436,35.87079171002793,128.7274113745463,POINT (355939.3623 264777.2436),동구,신서동
240,대구광역시 동구 신서동 521번지 36호 더블럭,"대구광역시 동구 안심로 389-5, 더블럭 (신서동)",더블럭(The Block),그 밖의 대규모점포,355855.9555,264865.6959,35.87160178380978,128.72650551960703,POINT (355855.9555 264865.6959),동구,신서동
241,대구광역시 동구 신서동 521번지 39호,대구광역시 동구 안심로 389-3 (신서동),제이에스인터내셔날,그 밖의 대규모점포,355857.3572,264781.4107,35.87084228791485,128.72650457211236,POINT (355857.3572 264781.4107),동구,신서동
242,대구광역시 달서구 대천동 555번지,대구광역시 달서구 진천로 92 (대천동),(주)이마트 월배점,대형마트,337647.1886,258512.3167,35.8170204917568,128.523708247192,POINT (337647.1886 258512.3167),달서구,대천동
243,대구광역시 달서구 용산1동 414번지 5호,대구광역시 달서구 성지로 27 (용산동),홈플러스(주) 익스프레스 용산2점,대형마트,337097.0374,262588.5922,35.8491509607989,128.524876241667,POINT (337097.0374 262588.5922),달서구,용산1동
244,대구광역시 달서구 상인1동 860번지 3호,대구광역시 달서구 송현로7길 19 (상인동),홈플러스(주) 익스프레스 상인점,대형마트,339717.0203,258942.8359,35.82067421692279,128.5468344725262,POINT (339717.0203 258942.8359),달서구,상인1동
245,대구광역시 달서구 용산동 934번지 1호,대구광역시 달서구 용산로 220 (용산동),홈플러스(주) 익스프레스 용산점,대형마트,338205.2153,262968.8261,35.8574118955191,128.530873450885,POINT (338205.2153 262968.8261),달서구,용산동
246,대구광역시 달서구 감삼동 206-75,대구광역시 달서구 당산로 83 (감삼동),홈플러스(주) 익스프레스 감삼점,대형마트,339440.6699,261637.9574,35.8450039593859,128.544261684036,POINT (339440.6699 261637.9574),달서구,감삼동
247,대구광역시 동구 각산동 호,,확산대형마트,대형마트,,,,,POINT EMPTY,동구,각산동
248,대구광역시 동구 각산동 호,,동대구,그 밖의 대규모점포,,,,,POINT EMPTY,동구,각산동
249,대구광역시 동구 각산동 호,,확산마트,대형마트,,,,,POINT EMPTY,동구,각산동
250,대구광역시 달서구 성당동 704번지 5호,대구광역시 달서구 당산동길 9 (성당동),두류종합시장,그 밖의 대규모점포,339519.8873,261695.2674,35.84549959093817,128.54513412953608,POINT (339519.8873 261695.2674),달서구,성당동
251,대구광역시 달서구 감삼동 55번지 5호,대구광역시 달서구 달구벌대로329길 17 (감삼동),서남시장,그 밖의 대규모점포,339503.1766,262680.2448,35.85437585223802,128.5451212256667,POINT (339503.1766 262680.2448),달서구,감삼동
252,대구광역시 달서구 본리동 65번지 3   호,,본리시장,그 밖의 대규모점포,,,35.8418219202259,128.538915096576,POINT EMPTY,달서구,본리
253,대구광역시 달서구 성당동 440호,대구광역시 달서구 장기로5길 29 (성당동),구마종합시장,그 밖의 대규모점포,340387.8874,261250.6039,35.8413189375236,128.554661112801,POINT (340387.8874 261250.6039),달서구,성당동
254,대구광역시 달서구 송현동 185번지 8   호,,송현시장,그 밖의 대규모점포,,,35.8306327108486,128.549812165381,POINT EMPTY,달서구,송현동
255,대구광역시 달서구 진천동 241번지 3   호,,월배시장,그 밖의 대규모점포,,,35.8140281154042,128.527497934841,POINT EMPTY,달서구,진천동
256,대구광역시 달서구 본동 225번지 1   호,,달서송림시장,그 밖의 대규모점포,,,35.8368477170449,128.547041832276,POINT EMPTY,달서구,본동
257,대구광역시 달서구 본동 225번지 1   호,,송경종합시장,그 밖의 대규모점포,,,35.8368477170449,128.547041832276,POINT EMPTY,달서구,본동
258,대구광역시 달서구 죽전동 410번지 1   호,,죽전시장,그 밖의 대규모점포,,,35.8510967875763,128.533996104454,POINT EMPTY,달서구,죽전동
259,대구광역시 달서구 진천동 241번지 3호 월배시장,"대구광역시 달서구 월배로24길 13, 월배시장 (진천동)",노브랜드 대구월배시장점,대형마트,337994.3199,258171.8028,35.8139712338255,128.52764515295968,POINT (337994.3199 258171.8028),달서구,진천동
260,대구광역시 달서구 송현동 1995번지 3   호,,송남시장,그 밖의 대규모점포,,,35.8289878710515,128.555402711372,POINT EMPTY,달서구,송현동
261,대구광역시 달서구 월성동 89번지 3   호,,월성청구시장,그 밖의 대규모점포,,,35.8267844688536,128.530890202909,POINT EMPTY,달서구,월성동
262,대구광역시 달서구 상인동 1517호,대구광역시 달서구 상인서로 76 (상인동),상인영남화성시장,그 밖의 대규모점포,339393.0126,258572.0198,35.8170699821619,128.542925905615,POINT (339393.0126 258572.0198),달서구,상인동
263,대구광역시 달서구 상인동 42호,대구광역시 달서구 월곡로 320 (상인동),보성은하상가시장,그 밖의 대규모점포,338692.1616,259135.2432,35.8225859044615,128.535373962971,POINT (338692.1616 259135.2432),달서구,상인동
264,대구광역시 달서구 이곡동 1191호,대구광역시 달서구 계대동문로 99 (이곡동),성서보성화성상가시장,그 밖의 대규모점포,335707.7432,262821.9934,35.8567375089517,128.503493251887,POINT (335707.7432 262821.9934),달서구,이곡동
265,대구광역시 달서구 이곡동 1254호,대구광역시 달서구 이곡동로 24 (이곡동),(주)이마트 성서점,대형마트,336343.9455,262554.7438,35.8537660976122,128.510183892051,POINT (336343.9455 262554.7438),달서구,이곡동
266,대구광역시 달서구 호림동 16번지,"대구광역시 달서구 달서대로 411 (호림동, 모다아울렛)",모다아울렛(MODAoutlet),전문점,334682.6261,260547.8959,35.8360033167832,128.491379397886,POINT (334682.6261 260547.8959),달서구,호림동
267,대구광역시 달서구 용산동 230번지 11호,대구광역시 달서구 달구벌대로 1467 (용산동),홈플러스(주) 성서점,대형마트,337916.0799,262111.0617,35.8530922401472,128.527508817331,POINT (337916.0799 262111.0617),달서구,용산동
268,대구광역시 달서구 상인동 171번지 1호,대구광역시 달서구 월배로 183 (상인동),홈플러스(주)  상인점,대형마트,338508.0397,258645.861,35.818169893765315,128.53340945710755,POINT (338508.0397 258645.861),달서구,상인동
269,대구광역시 달서구 도원동 1442번지 1호,대구광역시 달서구 도원로 36 (도원동),홈플러스(주) 익스프레스 도원점,복합쇼핑몰,338706.8833,257347.5946,35.8056654320683,128.534643503481,POINT (338706.8833 257347.5946),달서구,도원동
270,대구광역시 달서구 본동 619번지,대구광역시 달서구 월성로 14 (본동),롯데쇼핑(주)롯데슈퍼 월성점,시장,338551.0662,260132.2929,35.8315987679587,128.534080342418,POINT (338551.0662 260132.2929),달서구,본동
271,대구광역시 수성구 범어동 1004호,,신천시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,범어동
272,대구광역시 수성구 수성동2가 39번지 4호 수성종합시장,"대구광역시 수성구 들안로 281, 수성종합시장 (수성동2가)",수성시장,그 밖의 대규모점포,345973.901,262874.6775,35.85518604698441,128.6167635455663,POINT (345973.901 262874.6775),수성구,수성동
273,대구광역시 수성구 수성동2가 39-1호,,동성시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,수성동
274,대구광역시 수성구 범어동 29-1호,,로타리시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,범어동
275,대구광역시 수성구 만촌동 640호,,만촌시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,만촌동
276,대구광역시 수성구 수성동2가 39-4 수성종합시장,"대구광역시 수성구 들안로 281, 태백시장 (수성동2가)",태백시장,그 밖의 대규모점포,345973.901,262874.6775,35.855115449639,128.616724866305,POINT (345973.901 262874.6775),수성구,수성동
277,대구광역시 수성구 만촌동 984-1호,,청구시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,만촌동
278,대구광역시 수성구 만촌동 984-1호,,황금시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,만촌동
279,대구광역시 수성구 황금동 746번지,"대구광역시 수성구 청솔로 19 (황금동, 황금시장)",황금시장,그 밖의 대규모점포,346282.1983,262132.3996,35.8482819506832,128.619972597432,POINT (346282.1983 262132.3996),수성구,황금동
280,대구광역시 수성구 범어동 432-1호,,새범어종합시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,범어동
281,대구광역시 수성구 수성동1가 649-76호,,수성현대시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,수성동
282,대구광역시 수성구 수성동1가 649-76호,,대공원시장,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,수성동
283,대구광역시 수성구 만촌동 858호,대구광역시 수성구 교학로2길 23 (만촌동),만촌종합시장,그 밖의 대규모점포,349116.4803,262914.6811,35.8549152788503,128.651550264403,POINT (349116.4803 262914.6811),수성구,만촌동
284,대구광역시 수성구 만촌1동 1356번지 5호,대구광역시 수성구 동원로 136 (만촌동),(주)이마트 만촌점,대형마트,347757.9856,264692.7442,35.8709430437484,128.634027465405,POINT (347757.9856 264692.7442),수성구,만촌1동
285,대구광역시 수성구 만촌동 881호,대구광역시 수성구 교학로5길 92-5 (만촌동),선스포츠프라자,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,만촌동
286,대구광역시 수성구 두산동 743-5호,,메가플러스,그 밖의 대규모점포,,,35.8246512654237,128.62531680982,POINT EMPTY,수성구,두산동
287,대구광역시 수성구 지산동 994호,대구광역시 수성구 동대구로12안길 10 (지산동),두원시장,그 밖의 대규모점포,346786.9139,260749.3995,35.8358059148216,128.625235698448,POINT (346786.9139 260749.3995),수성구,지산동
288,대구광역시 수성구 지산동 1199번지 10호,대구광역시 수성구 용학로42길 9 (지산동),지산목련시장,그 밖의 대규모점포,347420.4001,259103.974,35.8211619679621,128.631758276334,POINT (347420.4001 259103.974),수성구,지산동
289,대구광역시 수성구 황금동 366번지 캐슬골드파크 2단지,"대구광역시 수성구 청수로 235, 종합상가동 (황금동, 캐슬골드파크 2단지)",롯데 프리미엄 푸드마켓 황금점,구분없음,347544.0892,261408.2129,35.8416798620396,128.633685231479,POINT (347544.0892 261408.2129),수성구,황금동
290,대구광역시 수성구 중동 333번지 7호,대구광역시 수성구 수성로 227 (중동),롯데쇼핑(주)롯데슈퍼 수성점,구분없음,345582.7818,261837.876,35.8455270549458,128.611954240157,POINT (345582.7818 261837.876),수성구,중동
291,대구광역시 수성구 범물1동 1273번지 동아백화점수성점,"대구광역시 수성구 지범로 191 (범물동,동아백화점수성점)",동아백화점 수성점,복합쇼핑몰,348194.4994,259144.5193,35.8211121345129,128.640448806551,POINT (348194.4994 259144.5193),수성구,범물1동
292,대구광역시 수성구 수성동4가 1090번지 8호 수성하이츠 쇼핑몰,"대구광역시 수성구 수성로 393 (수성동4가,수성하이츠 쇼핑몰)",수성하이츠 쇼핑몰,복합쇼핑몰,345663.5998,263506.5001,35.860924207968026,128.61344492254895,POINT (345663.5998 263506.5001),수성구,수성동
293,대구광역시 수성구 두산동 113호  SK리더스뷰 지하1층,대구광역시 수성구 동대구로 95 (두산동),홈플러스 대구 수성점,대형마트,346586.098,261066.0952,35.8387186092948,128.623094441987,POINT (346586.098 261066.0952),수성구,두산동
530,대구광역시 중구 공평동 58번지 6호,대구광역시 중구 동성로6길 61 (공평동),태왕스파크,그 밖의 대규모점포,344317.2196,264349.4852,35.86871766695151,128.59869676685284,POINT (344317.2196 264349.4852),중구,공평동
