은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,동별지점수,클러스터,고령인구비율,포화도
1,iM뱅크(구 대구은행),DGB Mobile Bank,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,5,1,20.22742603835405,2075.4
2,iM뱅크(구 대구은행),가톨릭대학병원출장소,대구광역시 남구 대명동 두류공원로17길33,남구,대명4동,35.84418911,128.5658257,2.193438016,1.672771188,9402,3085,3,0,32.81216762390981,3134.0
3,iM뱅크(구 대구은행),경북대병원지점,대구광역시 중구 삼덕2가 동덕로130,중구,삼덕동,35.86625113,128.6047026,3.53138364,5.538798199,7352,959,2,4,13.044069640914039,3676.0
4,iM뱅크(구 대구은행),경북대지점,대구광역시 북구 산격동 대학로80,북구,대현동,35.88909749,128.6143223,3.105214656,1.0,15719,4215,4,0,26.814682867866914,3929.75
5,iM뱅크(구 대구은행),계명대동산병원점,대구광역시 달서구 신당동 달구벌대로1035,달서구,신당동,35.85395649,128.4802258,1.926597194,3.881042655,28366,5444,6,7,19.19199041105549,4727.666666666667
6,iM뱅크(구 대구은행),계명대지점,대구광역시 달서구 신당동 달구벌대로1095,달서구,신당동,35.8559056,128.484579,1.449674845,1.0,28366,5444,6,3,19.19199041105549,4727.666666666667
7,iM뱅크(구 대구은행),계산점,대구광역시 중구 계산동2가 서성로20,중구,성내2동,35.86846041,128.5873458,3.238556502,7.6,8426,1319,3,4,15.653928317113696,2808.6666666666665
8,iM뱅크(구 대구은행),광장지점,대구광역시 달서구 두류동 달구벌대로1698,달서구,두류3동,35.85515564,128.5515683,5.488578843,4.311815735,9051,2395,1,6,26.461164512208597,9051.0
9,iM뱅크(구 대구은행),구암점,대구광역시 북구 구암동 구암로32길6-20,북구,구암동,35.93132201,128.5559881,6.818089668,6.089445322,31074,4860,4,1,15.640084958486195,7768.5
10,iM뱅크(구 대구은행),금호사수점,대구광역시 북구 사수동 한강로4길13-1,북구,관문동,35.89541594,128.5148801,2.074627597,1.388320121,32670,5712,2,2,17.48393021120294,16335.0
11,iM뱅크(구 대구은행),남구청출장소,대구광역시 남구 봉덕동 이천로51,남구,봉덕1동,35.84578414,128.59726,3.587704785,3.594363113,7906,2480,5,0,31.368580824690106,1581.2
12,iM뱅크(구 대구은행),남문시장지점,대구광역시 중구 남산동 중앙대로303,중구,남산1동,35.86044465,128.5918052,3.924918201,9.002717866,5097,1033,2,4,20.26682362173828,2548.5
13,iM뱅크(구 대구은행),내당동지점,대구광역시 서구 내당동 달서로1,서구,내당2.3동,35.86244661,128.5716056,4.404365791,4.580879498,8107,2898,1,6,35.74688540767238,8107.0
14,iM뱅크(구 대구은행),노변지점,대구광역시 수성구 시지동 시지로55,수성구,고산2동,35.83816085,128.6960922,4.382752868,1.0,25996,5025,2,7,19.329896907216497,12998.0
15,iM뱅크(구 대구은행),노원동지점,대구광역시 북구 노원동3가 노원로169,북구,노원동,35.89937286,128.5785879,1.983111542,1.51794229,11171,3107,4,0,27.813087458598158,2792.75
16,iM뱅크(구 대구은행),다사지점,대구광역시 달성군 다사읍 달구벌대로879,달성군,다사읍,35.85795042,128.4655708,5.291661231,7.013204149,51889,7663,2,1,14.768062595155044,25944.5
17,iM뱅크(구 대구은행),달서구청출장소,대구광역시 달서구 월성동 학산로45,달서구,월성2동,35.82991552,128.5328356,4.827482387,4.748051138,13814,5124,3,6,37.09280440133198,4604.666666666667
18,iM뱅크(구 대구은행),달성공단영업부,대구광역시 달성군 논공읍 논공중앙로33길17,달성군,논공읍,35.73104702,128.4522915,1.939181041,1.035370619,4224,1380,5,0,32.67045454545455,844.8
19,iM뱅크(구 대구은행),달성군청출장소,대구광역시 달성군 논공읍 달성군청로33,달성군,논공읍,35.77466317,128.4313897,1.917841329,1.0,4224,1380,5,0,32.67045454545455,844.8
20,iM뱅크(구 대구은행),대곡역점,대구광역시 달성군 화원읍 비슬로2723,달성군,화원읍,35.80982614,128.5126882,6.59624218,5.488057975,45973,10405,3,1,22.63284971613773,15324.333333333334
21,iM뱅크(구 대구은행),대곡지점,대구광역시 달서구 도원동 도원로29,달서구,도원동,35.80715643,128.5360311,4.715477762,6.4,31661,7901,2,6,24.954991945927166,15830.5
22,iM뱅크(구 대구은행),대구경북과학기술원점,대구광역시 달성군 현풍읍 테크노중앙대로333,달성군,현풍읍,35.70563776,128.4550107,1.343357908,1.0,21426,3969,2,3,18.52422290674881,10713.0
23,iM뱅크(구 대구은행),대구교육대점,대구광역시 남구 대명2동 중앙대로219,남구,대명2동,35.85143158,128.5877392,3.084027033,2.2,11635,2687,1,7,23.094112591319295,11635.0
24,iM뱅크(구 대구은행),대구국가산단지점,대구광역시 달성군 구지면 국가산단대로213,달성군,구지면,35.64842351,128.4171013,1.27387416,1.0,18938,2561,1,2,13.523075298341958,18938.0
25,iM뱅크(구 대구은행),대구국제공항출장소,대구광역시 동구 지저동 공항로221,동구,지저동,35.89910868,128.6392615,2.703059003,2.396844264,12760,4179,1,0,32.75078369905956,12760.0
26,iM뱅크(구 대구은행),대구도시개발공사점,대구광역시 북구 고성동3가 침산로73,북구,고성동,35.88317549,128.5893389,5.766347622,4.219717909,13043,1443,1,1,11.063405658207467,13043.0
27,iM뱅크(구 대구은행),대구시산격청사점,대구광역시 북구 산격동 연암로40,북구,산격4동,35.89202721,128.5984093,4.003617955,3.363890275,7202,2283,2,0,31.699527908914188,3601.0
28,iM뱅크(구 대구은행),대구혁신도시지점,대구광역시 동구 동내동 동내로88,동구,혁신동,35.87864132,128.7361276,1.221759987,1.0,16805,2165,8,3,12.883070514727759,2100.625
29,iM뱅크(구 대구은행),대덕지점,대구광역시 남구 대명동 대명로195,남구,대명1동,35.83994808,128.5787675,3.76162375,4.855210952,9476,2708,1,6,28.57745884339384,9476.0
30,iM뱅크(구 대구은행),대명동지점,대구광역시 남구 대명동 중앙대로147,남구,대명5동,35.84652354,128.5901812,2.648512546,4.368172298,7424,1545,3,7,20.810883620689655,2474.6666666666665
31,iM뱅크(구 대구은행),대봉브라보점,대구광역시 남구 이천동 명덕로308,남구,이천동,35.85492094,128.6037059,4.958081545,6.023073619,14349,3543,2,6,24.691616140497597,7174.5
32,iM뱅크(구 대구은행),대신동지점,대구광역시 중구 대신동 국채보상로469,중구,대신동,35.87084657,128.5819624,3.266461408,7.358212771,7382,1671,4,4,22.636141966946628,1845.5
33,iM뱅크(구 대구은행),대현점,대구광역시 북구 대현동 대현남로6길20,북구,대현동,35.88042801,128.6085396,4.83385041,4.238714713,15719,4215,4,6,26.814682867866914,3929.75
34,iM뱅크(구 대구은행),덕산지점,대구광역시 중구 남산4동 남산로61,중구,남산4동,35.86206057,128.5821275,5.105844646,4.385616117,16180,3398,2,7,21.00123609394314,8090.0
35,iM뱅크(구 대구은행),동구청지점,대구광역시 동구 신암동 아양로207,동구,신암5동,35.88681058,128.6360751,5.644833783,6.558024307,7432,2144,1,6,28.84822389666308,7432.0
36,iM뱅크(구 대구은행),동대구로점,대구광역시 수성구 범어동 동대구로382,수성구,범어2동,35.86453456,128.6274133,3.442523756,1.394707598,14124,2568,6,3,18.181818181818183,2354.0
37,iM뱅크(구 대구은행),동북로점,대구광역시 북구 복현2동 동북로287,북구,복현2동,35.8930081,128.6215488,4.63165388,3.846261099,29078,5179,1,2,17.81071600522732,29078.0
38,iM뱅크(구 대구은행),동산의료원출장소,대구광역시 중구 동산동 달성로56,중구,성내2동,35.87017964,128.5825231,3.283319946,7.6,8426,1319,3,4,15.653928317113696,2808.6666666666665
39,iM뱅크(구 대구은행),동서변지점,대구광역시 북구 서변동 호국로209,북구,서변동,35.9204633,128.5989796,3.406644523,3.136331083,33237,5973,1,2,17.970936005054607,33237.0
40,iM뱅크(구 대구은행),동성로지점,대구광역시 중구 덕산동 달구벌대로2105,중구,성내1동,35.86577266,128.5940347,2.94880074,7.216568805,5094,912,4,4,17.90341578327444,1273.5
41,iM뱅크(구 대구은행),만촌동지점,대구광역시 수성구 범어동 달구벌대로2503,수성구,범어2동,35.85925192,128.6365778,2.542470318,4.62923775,14124,2568,6,7,18.181818181818183,2354.0
42,iM뱅크(구 대구은행),만촌역지점,대구광역시 수성구 만촌동 달구벌대로2626,수성구,만촌3동,35.85666764,128.6496672,2.477292835,8.8,21282,2545,2,4,11.95846255051217,10641.0
43,iM뱅크(구 대구은행),메트로팔레스점,대구광역시 수성구 만촌동 동원로135,수성구,만촌1동,35.8691799,128.633469,3.261143224,2.411224346,20597,4732,3,7,22.974219546535902,6865.666666666667
44,iM뱅크(구 대구은행),목련시장점,대구광역시 수성구 지산동 용학로206,수성구,지산2동,35.82144877,128.6308973,5.270487113,5.244219458,18475,4718,2,6,25.537212449255755,9237.5
45,iM뱅크(구 대구은행),반야월지점,대구광역시 동구 신서동 안심로401,동구,안심4동,35.86952467,128.7279048,3.963925379,7.559042012,26642,5255,3,4,19.724495158021167,8880.666666666666
46,iM뱅크(구 대구은행),방촌지점,대구광역시 동구 방촌동 동촌로274,동구,방촌동,35.87955908,128.6695176,4.297406805,6.210118995,17041,5447,1,6,31.96408661463529,17041.0
47,iM뱅크(구 대구은행),범물1동점,대구광역시 수성구 범물1동 지범로39길12,수성구,범물1동,35.82056739,128.6432063,8.303953803,8.733041266,9928,4159,2,5,41.891619661563254,4964.0
48,iM뱅크(구 대구은행),범어4동점,대구광역시 수성구 범어동 달구벌대로496길26,수성구,범어4동,35.85669889,128.6338649,2.885078663,4.094042836,18678,2097,2,7,11.227112110504336,9339.0
49,iM뱅크(구 대구은행),범어금융센터,대구광역시 수성구 범어동 달구벌대로2387,수성구,범어3동,35.85966253,128.6236586,4.317393654,4.620328918,17294,1956,3,7,11.310281022319879,5764.666666666667
50,iM뱅크(구 대구은행),법원지점,대구광역시 수성구 범어동 동대구로364,수성구,범어2동,35.86229387,128.6289029,2.914587408,1.914866401,14124,2568,6,3,18.181818181818183,2354.0
51,iM뱅크(구 대구은행),복현지점,대구광역시 북구 산격3동 동북로174,북구,산격3동,35.89876955,128.6116674,6.996169271,6.036136874,8185,1896,1,1,23.16432498472816,8185.0
52,iM뱅크(구 대구은행),본리동지점,대구광역시 달서구 본동 구마로180,달서구,본동,35.83690314,128.5474129,5.515237804,5.673003521,11812,3068,2,6,25.973586183542157,5906.0
53,iM뱅크(구 대구은행),본점PB센터,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,5,1,20.22742603835405,2075.4
54,iM뱅크(구 대구은행),본점영업부,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,5,1,20.22742603835405,2075.4
55,iM뱅크(구 대구은행),봉덕동지점,대구광역시 남구 봉덕동 대봉로60,남구,봉덕1동,35.84403779,128.6042007,4.365633393,5.394591634,7906,2480,5,6,31.368580824690106,1581.2
56,iM뱅크(구 대구은행),북구청지점,대구광역시 북구 침산동 옥산로65,북구,침산3동,35.8856843,128.5827802,5.516231999,6.538128989,18019,3852,2,1,21.377434929796326,9009.5
57,iM뱅크(구 대구은행),북비산지점,대구광역시 서구 비산동 달서로183,서구,비산6동,35.87870316,128.570933,4.9058563,4.692925563,6522,2196,1,6,33.67065317387304,6522.0
58,iM뱅크(구 대구은행),북성로지점,대구광역시 중구 수창동 서성로81,중구,성내3동,35.87402224,128.5874167,3.007993133,6.4,13443,1402,1,4,10.429219668228818,13443.0
59,iM뱅크(구 대구은행),삼덕금융센터,대구광역시 중구 삼덕동2가 달구벌대로2195,중구,삼덕동,35.86344155,128.6034408,3.862307855,5.828330668,7352,959,2,4,13.044069640914039,3676.0
60,iM뱅크(구 대구은행),상수도사업본부출장소,대구광역시 남구 이천동 명덕로52길45,남구,이천동,35.85445554,128.5961119,4.310548069,4.73592115,14349,3543,2,6,24.691616140497597,7174.5
61,iM뱅크(구 대구은행),상인역지점,대구광역시 달서구 상인동 월곡로266,달서구,상인1동,35.81812556,128.5389861,5.186609016,6.308511112,32705,6628,5,1,20.2660143708913,6541.0
62,iM뱅크(구 대구은행),상인점,대구광역시 달서구 상인동 상인서로51,달서구,상인1동,35.81455592,128.5437622,6.083988092,4.456415955,32705,6628,5,1,20.2660143708913,6541.0
63,iM뱅크(구 대구은행),서구청출장소,대구광역시 서구 평리동 국채보상로257,서구,평리3동,35.87233875,128.5592792,4.671776492,4.283020218,12342,3058,1,6,24.777183600713013,12342.0
64,iM뱅크(구 대구은행),서대구지점,대구광역시 서구 평리동 서대구로78,서구,평리4동,35.86491706,128.5562578,4.852285418,1.769107638,15549,4081,4,0,26.246060839925395,3887.25
65,iM뱅크(구 대구은행),서부지원지점,대구광역시 달서구 용산동 장산남로30,달서구,용산1동,35.85306327,128.5275686,5.12439028,5.21983339,28582,4872,4,1,17.045693093555382,7145.5
66,iM뱅크(구 대구은행),서부차량등록출장소,대구광역시 달서구 이곡동 성서로400,달서구,이곡1동,35.85330369,128.5078615,4.450789475,7.366059796,20168,3479,3,4,17.250099166997224,6722.666666666667
67,iM뱅크(구 대구은행),성당뉴타운지점,대구광역시 달서구 본리동 당산로39,달서구,본리동,35.8409457,128.5444515,5.050044882,5.941611614,22594,3536,2,1,15.65017261219793,11297.0
68,iM뱅크(구 대구은행),성당시장지점,대구광역시 남구 대명동 대경길7,남구,대명4동,35.84983789,128.5724,2.966207737,2.78223426,9402,3085,3,0,32.81216762390981,3134.0
69,iM뱅크(구 대구은행),성명지점,대구광역시 남구 대명동 대명로23,남구,대명10동,35.83854081,128.5600256,3.27505024,8.8,8096,2676,2,5,33.05335968379446,4048.0
70,iM뱅크(구 대구은행),성북교점,대구광역시 북구 산격1동 연암로117,북구,산격1동,35.89502176,128.5942498,4.954888662,3.625443565,7669,3162,1,0,41.23092971704264,7669.0
71,iM뱅크(구 대구은행),성서3단지영업부,대구광역시 달서구 호산동 성서공단북로132,달서구,신당동,35.84413241,128.4872215,1.062143465,1.0,28366,5444,6,3,19.19199041105549,4727.666666666667
72,iM뱅크(구 대구은행),성서공단영업부,대구광역시 달서구 월암동 성서공단로124,달서구,월성2동,35.83484068,128.4961746,1.0,1.0,13814,5124,3,0,37.09280440133198,4604.666666666667
73,iM뱅크(구 대구은행),성서비즈니스센터영업부,대구광역시 달서구 갈산동 성서공단로217,달서구,이곡2동,35.8364554,128.506659,1.019050043,1.0,14451,3260,8,3,22.558992457269394,1806.375
74,iM뱅크(구 대구은행),성서영업부,대구광역시 달서구 이곡동 달구벌대로1276,달서구,이곡2동,35.85140957,128.5067461,3.372633607,6.053120159,14451,3260,8,4,22.558992457269394,1806.375
75,iM뱅크(구 대구은행),성서홈플러스출장소,대구광역시 달서구 용산동 달구벌대로1467,달서구,용산1동,35.84945361,128.5274058,4.141514818,7.227983065,28582,4872,4,4,17.045693093555382,7145.5
76,iM뱅크(구 대구은행),세천지점,대구광역시 달성군 다사읍 세천로3길7,달성군,다사읍,35.87156583,128.4684528,1.20752054,1.0,51889,7663,2,2,14.768062595155044,25944.5
77,iM뱅크(구 대구은행),수성구청지점,대구광역시 수성구 범어동 달구벌대로2450,수성구,범어1동,35.85820008,128.6306298,2.774366709,4.136710861,21354,2897,1,2,13.566544909618807,21354.0
78,iM뱅크(구 대구은행),시지지점,대구광역시 수성구 신매동 달구벌대로3196,수성구,고산1동,35.84013435,128.7061649,7.315367335,6.111775136,31453,5172,4,1,16.44358248815693,7863.25
79,iM뱅크(구 대구은행),시청영업부,대구광역시 중구 동인1가 공평로88,중구,동인동,35.87156652,128.601259,2.868622241,6.4,10616,2145,4,4,20.205350414468725,2654.0
80,iM뱅크(구 대구은행),신암동지점,대구광역시 동구 신암동 아양로2,동구,신암3동,35.88099411,128.6146225,5.07695967,5.424773994,11290,2192,2,1,19.41541186891054,5645.0
81,iM뱅크(구 대구은행),신월성지점,대구광역시 달서구 월성동 조암로5,달서구,월성1동,35.8255175,128.52913,5.558624799,3.496571833,39888,3677,1,2,9.218311271560369,39888.0
82,iM뱅크(구 대구은행),신천4동지점,대구광역시 동구 신천동 동부로30길23-1,동구,신천4동,35.87499558,128.6290632,2.830739105,6.33465883,10733,2182,1,4,20.32982390757477,10733.0
83,iM뱅크(구 대구은행),신천동지점,대구광역시 동구 신천동 송라로58,동구,신천3동,35.87253559,128.6190586,5.871781068,5.22276892,14243,2570,1,1,18.043951414730042,14243.0
84,iM뱅크(구 대구은행),신평지점,대구광역시 서구 평리동 국채보상로286,서구,평리4동,35.87147898,128.5620941,5.560758755,1.867575379,15549,4081,4,0,26.246060839925395,3887.25
85,iM뱅크(구 대구은행),안심지점,대구광역시 동구 서호동 안심로41길36,동구,안심4동,35.86936116,128.708641,5.750202979,4.038914996,26642,5255,3,1,19.724495158021167,8880.666666666666
86,iM뱅크(구 대구은행),연경점,대구광역시 북구 연경동 동화천로241,북구,연경동,35.94264884,128.617379,2.178415302,3.941680758,33237,5973,1,2,17.970936005054607,33237.0
87,iM뱅크(구 대구은행),영대병원점,대구광역시 남구 대명동 현충로170,남구,대명5동,35.8476702,128.5842035,2.54814437,1.0,7424,1545,3,3,20.810883620689655,2474.6666666666665
88,iM뱅크(구 대구은행),옥포점,대구광역시 달성군 옥포읍 돌미상업로2길1,달성군,옥포읍,35.7823888,128.4424125,2.470457737,1.0,22776,5371,1,2,23.581840533895328,22776.0
89,iM뱅크(구 대구은행),용산동지점,대구광역시 달서구 용산동 용산로235,달서구,용산1동,35.85849113,128.5302712,5.442229725,1.512837669,28582,4872,4,7,17.045693093555382,7145.5
90,iM뱅크(구 대구은행),월배영업부,대구광역시 달서구 진천동 월배로109,달서구,진천동,35.81478782,128.5262545,5.969207747,4.841591155,49953,9711,5,1,19.44027385742598,9990.6
91,iM뱅크(구 대구은행),월성동지점,대구광역시 달서구 월성동 월성로30,달서구,월성2동,35.83157465,128.5323125,4.426379106,3.752684978,13814,5124,3,0,37.09280440133198,4604.666666666667
92,iM뱅크(구 대구은행),월촌역지점,대구광역시 달서구 송현동 월배로322,달서구,송현1동,35.82412864,128.54632,4.164920189,4.329548694,16363,4756,2,6,29.06557477235226,8181.5
93,iM뱅크(구 대구은행),유통단지영업부,대구광역시 북구 산격동 유통단지로73,북구,산격2동,35.90795214,128.6102898,2.136068714,4.937199417,9645,2523,4,0,26.158631415241057,2411.25
94,iM뱅크(구 대구은행),이곡동지점,대구광역시 달서구 이곡동 계대동문로124,달서구,이곡2동,35.8550894,128.5059093,4.759673473,6.96665602,14451,3260,8,4,22.558992457269394,1806.375
95,iM뱅크(구 대구은행),이시아폴리스지점,대구광역시 동구 봉무동 팔공로227,동구,불로.봉무동,35.9190995,128.640295,1.789182547,1.509357112,19708,4051,2,3,20.555104526080783,9854.0
96,iM뱅크(구 대구은행),이현공단영업부,대구광역시 서구 중리동 국채보상로124,서구,상중이동,35.86851112,128.5447464,2.184980588,3.42579824,17434,4650,2,0,26.672020190432487,8717.0
97,iM뱅크(구 대구은행),장기점,대구광역시 달서구 장기동 장기로265,달서구,장기동,35.84334112,128.5312533,3.981938816,3.455807493,15540,3069,2,7,19.74903474903475,7770.0
98,iM뱅크(구 대구은행),제2본점영업부,대구광역시 북구 칠성동2가 옥산로111,북구,칠성동,35.88446945,128.5882828,6.578503032,4.14897667,22699,4235,3,1,18.65720956870347,7566.333333333333
99,iM뱅크(구 대구은행),죽전지점,대구광역시 달서구 감삼동 달구벌대로1568,달서구,감삼동,35.8503054,128.5386674,3.648975101,3.505067136,30856,4806,3,7,15.575576873217525,10285.333333333334
100,iM뱅크(구 대구은행),중구청지점,대구광역시 중구 동인동2가 국채보상로139길1,중구,동인동,35.86932566,128.6061577,3.485341447,2.943021405,10616,2145,4,7,20.205350414468725,2654.0
101,iM뱅크(구 대구은행),중동지점,대구광역시 수성구 중동 수성로248,수성구,중동,35.84750483,128.6132005,3.59456086,3.858047695,14508,2676,3,7,18.4449958643507,4836.0
102,iM뱅크(구 대구은행),지산지점,대구광역시 수성구 범물2동 지범로188,수성구,범물2동,35.82080178,128.6395179,7.844930258,6.781265981,15720,3607,1,1,22.94529262086514,15720.0
103,iM뱅크(구 대구은행),차량등록사업소출장소,대구광역시 수성구 만촌동 동원로84,수성구,만촌1동,35.86663132,128.6397507,2.696906634,3.244340469,20597,4732,3,7,22.974219546535902,6865.666666666667
104,iM뱅크(구 대구은행),칠곡경북대병원점,대구광역시 북구 학정동 호국로807,북구,국우동,35.95605898,128.5652233,1.944054206,2.834582625,29744,3745,1,2,12.59077461000538,29744.0
105,iM뱅크(구 대구은행),칠곡지점,대구광역시 북구 관음동 칠곡중앙대로451,북구,관음동,35.93600349,128.5485632,8.534781047,3.083650257,14170,3627,1,1,25.596330275229356,14170.0
106,iM뱅크(구 대구은행),태전동지점,대구광역시 북구 태전동 칠곡중앙대로309,북구,태전1동,35.92335283,128.5464656,4.691264007,8.8,21312,4553,1,4,21.36355105105105,21312.0
107,iM뱅크(구 대구은행),테크노폴리스지점,대구광역시 달성군 유가읍 테크노상업로120,달성군,유가읍,35.69306331,128.4629008,4.934476089,2.419328464,31246,2910,2,2,9.31319208858734,15623.0
108,iM뱅크(구 대구은행),통일로점,대구광역시 북구 칠성2가 중앙대로507,북구,칠성동,35.87840139,128.5950097,4.400451149,7.554442744,22699,4235,3,4,18.65720956870347,7566.333333333333
109,iM뱅크(구 대구은행),파동지점,대구광역시 수성구 상동 수성로5,수성구,상동,35.82598648,128.6098743,1.941747729,2.926853114,14198,4008,1,0,28.229328074376674,14198.0
110,iM뱅크(구 대구은행),파티마병원출장소,대구광역시 동구 신암동 아양로99,동구,신암4동,35.88384893,128.6229913,4.253858475,3.374064893,18373,3784,2,7,20.595438959342513,9186.5
111,iM뱅크(구 대구은행),팔달로지점,대구광역시 서구 비산동 팔달로72-1,서구,비산7동,35.88992938,128.558066,1.993192065,8.8,8379,2755,2,5,32.87981859410431,4189.5
112,iM뱅크(구 대구은행),팔달영업부,대구광역시 서구 비산동 팔달로126,서구,비산5동,35.88913523,128.5638313,2.570841114,8.574459005,4987,1926,1,5,38.62041307399238,4987.0
113,iM뱅크(구 대구은행),학정로지점,대구광역시 북구 구암동 학정로432,북구,구암동,35.94324063,128.5640732,5.497991392,6.4,31074,4860,4,1,15.640084958486195,7768.5
114,iM뱅크(구 대구은행),화원지점,대구광역시 달성군 화원읍 비슬로2597,달성군,화원읍,35.80473942,128.5005105,5.416859344,3.716234234,45973,10405,3,6,22.63284971613773,15324.333333333334
115,iM뱅크(구 대구은행),황금네거리지점,대구광역시 수성구 황금2동 동대구로111,수성구,황금2동,35.84031842,128.6235801,3.328406055,3.580748613,11355,2433,1,7,21.42668428005284,11355.0
116,iM뱅크(구 대구은행),황금동지점,대구광역시 수성구 황금동 청수로235,수성구,황금1동,35.84144818,128.6334266,5.441087907,1.43467208,21494,3483,2,7,16.204522192239697,10747.0
